ngram,NEG,NEUT,POS
심하다,1,0,0
험하게,1,0,0
험한,1,0,0
거칠다,1,0,0
거칠면서,1,0,0
가쁘고,1,0,0
거칠어져,1,0,0
걱정,1,0,0
걱정이나,1,0,0
언짢은,1,0,0
건강에,1,0,0
해로운,1,0,0
건방져,1,0,0
건방지게,1,0,0
건방지네,1,0,0
건방지다,1,0,0
건방지며,1,0,0
건방짐,1,0,0
검사에,1,0,0
불합격한,1,0,0
겁에,1,0,0
지리다,1,0,0
질려,1,0,0
질려서,1,0,0
질리거나,1,0,0
겁이,1,0,0
많고,1,0,0
많다,1,0,0
많아,1,0,0
많은,1,0,0
많음,1,0,0
겁쟁이,1,0,0
게걸스럽게,1,0,0
돌아다니는,1,0,0
돌아다니다,1,0,0
게을러빠지다,1,0,0
게을러터지다,1,0,0
격노,1,0,0
격노하다,1,0,0
격분,1,0,0
격분하다,1,0,0
격하게,1,0,0
되다,1,0,0
격하시키다,1,0,0
감정이,1,0,0
기운이,1,0,0
느낌이,1,0,0
견디기,1,0,0
어렵게,1,0,0
견디기가,1,0,0
어려울,1,0,0
견딜,1,0,0
결딴날,1,0,0
듯이,1,0,0
결석,1,0,0
결석하다,1,0,0
결핍,1,0,0
결핍증,1,0,0
겹거나,1,0,0
겹게,1,0,0
여기다,1,0,0
경련을,1,0,0
일으키다,1,0,0
경련이,1,0,0
일어나,1,0,0
경망스러우며,1,0,0
추잡하다,1,0,0
경망스럽게,1,0,0
내흔들거나,1,0,0
경망스럽다,1,0,0
경멸,1,0,0
경멸하다,1,0,0
경멸히,1,0,0
여겨,1,0,0
경박스럽게,1,0,0
함부로,1,0,0
경상,1,0,0
경솔하고,1,0,0
방정맞게,1,0,0
계속,1,0,0
부정하다,1,0,0
불평을,1,0,0
고난,1,0,0
고단하다,1,0,0
고단하여,1,0,0
고달프다,1,0,0
고도화,1,0,0
고도화되다,1,0,0
고되다,1,0,0
고생스러운,1,0,0
고생하거나,1,0,0
두려워하여,1,0,0
고약하게,1,0,0
고약하다,1,0,0
고약함,1,0,0
고약해서,1,0,0
고충,1,0,0
고통,1,0,0
고통스러운,1,0,0
상태,1,0,0
일이나,1,0,0
고통스럽거나,1,0,0
고통스럽게,1,0,0
일함,1,0,0
고통스럽다,1,0,0
고통을,1,0,0
당하여,1,0,0
이른다,1,0,0
주다,1,0,0
주며,1,0,0
고통이,1,0,0
지속되는,1,0,0
고통이나,1,0,0
곤란에,1,0,0
시달림으로,1,0,0
어려운,1,0,0
고통이라는,1,0,0
뜻으로,1,0,0
고한,1,0,0
곤궁하고,1,0,0
곤궁하다,1,0,0
곤혹스러운,1,0,0
곤혹스럽다,1,0,0
골골,1,0,0
앓아서,1,0,0
골나다,1,0,0
골리는,1,0,0
짓,1,0,0
골이,1,0,0
나게,1,0,0
곰팡이,1,0,0
공개적으로,1,0,0
비난하다,1,0,0
공격받다,1,0,0
공연히,1,0,0
미워하고,1,0,0
공포,1,0,0
공포나,1,0,0
긴장으로,1,0,0
공포증,1,0,0
과음,1,0,0
과장되다,1,0,0
과장된,1,0,0
과체중,1,0,0
관절염,1,0,0
괄시,1,0,0
괄시하다,1,0,0
괘씸하고,1,0,0
얄미운,1,0,0
얄밉다,1,0,0
괘씸한,1,0,0
괴로운,1,0,0
느낌,1,0,0
느낌을,1,0,0
상태가,1,0,0
상태에,1,0,0
괴로울,1,0,0
때에,1,0,0
괴로움과,1,0,0
아픔,1,0,0
괴로움을,1,0,0
가져오며,1,0,0
느끼다,1,0,0
괴로움이나,1,0,0
괴로워,1,0,0
괴로워하는,1,0,0
모양이나,1,0,0
괴로워하다,1,0,0
괴로워하며,1,0,0
성가시다,1,0,0
괴롭게,1,0,0
내는,1,0,0
소리를,1,0,0
괴롭고,1,0,0
귀찮게,1,0,0
귀찮다,1,0,0
괴롭히거나,1,0,0
못살게,1,0,0
괴롭히는,1,0,0
일,1,0,0
괴롭히다,1,0,0
괴멸,1,0,0
괴멸되다,1,0,0
괴멸하다,1,0,0
괴사가,1,0,0
일어난,1,0,0
괴상하고,1,0,0
괴상한,1,0,0
괴이하게,1,0,0
구슬프고,1,0,0
쓸쓸한,1,0,0
구역날,1,0,0
듯하다,1,0,0
구역이,1,0,0
나려는,1,0,0
구역질,1,0,0
구역질나는,1,0,0
구역질나다,1,0,0
구역질을,1,0,0
하는,1,0,0
구역질이,1,0,0
나다,1,0,0
나서,1,0,0
구역질하다,1,0,0
구차스러운,1,0,0
구차스럽게,1,0,0
구는,1,0,0
굴다,1,0,0
구차하여,1,0,0
굴욕,1,0,0
굴욕감,1,0,0
굴욕을,1,0,0
당하거나,1,0,0
굴욕적,1,0,0
굼뜨고,1,0,0
거추장스럽게,1,0,0
게으르게,1,0,0
좀스럽게,1,0,0
굽신,1,0,0
굽신거리다,1,0,0
굽신굽신,1,0,0
굽신굽신하다,1,0,0
굽신대다,1,0,0
굽신하다,1,0,0
굽실,1,0,0
굽실거리다,1,0,0
굽실굽실,1,0,0
굽실굽실하다,1,0,0
굽실대다,1,0,0
굽실하다,1,0,0
굽혀서,1,0,0
산다는,1,0,0
궁상스러운,1,0,0
궁상스럽다,1,0,0
궁색하게,1,0,0
궁색하다,1,0,0
궁색하여,1,0,0
궁핍하다,1,0,0
궁핍히,1,0,0
궁하고,1,0,0
궁하다,1,0,0
귀양을,1,0,0
보내던,1,0,0
귀양이,1,0,0
보내어지다,1,0,0
귀찮고,1,0,0
귀찮아하도록,1,0,0
성가시게,1,0,0
귀찮은,1,0,0
그대로,1,0,0
설사하는,1,0,0
그른,1,0,0
그릇되거나,1,0,0
그릇되게,1,0,0
하다,1,0,0
그릇되다,1,0,0
그릇된,1,0,0
방향으로,1,0,0
일을,1,0,0
그와,1,0,0
이별하다,1,0,0
극혐,1,0,0
걱정이,1,0,0
근심하거나,1,0,0
안타까워,1,0,0
금지되다,1,0,0
금지된,1,0,0
물건을,1,0,0
금지하는,1,0,0
말과,1,0,0
금지하려,1,0,0
할,1,0,0
금지함,1,0,0
급성,1,0,0
염증,1,0,0
위장염의,1,0,0
급작스럽게,1,0,0
화를,1,0,0
기능,1,0,0
장애로,1,0,0
기만하다,1,0,0
기분,1,0,0
나쁠,1,0,0
기분을,1,0,0
나쁘게,1,0,0
기분이,1,0,0
나쁘거나,1,0,0
상하다,1,0,0
기운,1,0,0
다하여,1,0,0
빠져,1,0,0
빠져서,1,0,0
쇠약하여,1,0,0
없거나,1,0,0
없고,1,0,0
없어,1,0,0
없어지고,1,0,0
기운이나,1,0,0
의욕,1,0,0
따위가,1,0,0
기절하듯이,1,0,0
쓰러지다,1,0,0
기절할,1,0,0
기죽다,1,0,0
기준에,1,0,0
어긋나,1,0,0
기피되어,1,0,0
따돌림을,1,0,0
기피하여,1,0,0
따돌리거나,1,0,0
길이,1,0,0
막막하게,1,0,0
막막하다,1,0,0
깊이,1,0,0
근심함,1,0,0
슬퍼하다,1,0,0
슬퍼함,1,0,0
까마득하다,1,0,0
까마아득하게,1,0,0
까무러질,1,0,0
듯한,1,0,0
까무러칠,1,0,0
듯,1,0,0
듯하게,1,0,0
깎아내려,1,0,0
헐뜯음,1,0,0
깔깔하며,1,0,0
깔보면서,1,0,0
놀리다,1,0,0
깔보아,1,0,0
업신여기다,1,0,0
업신여김,1,0,0
깜찍스럽게,1,0,0
지껄이며,1,0,0
꺼려지거나,1,0,0
꺼리는,1,0,0
날,1,0,0
마음으로,1,0,0
꺼리다,1,0,0
꺼리어,1,0,0
피하거나,1,0,0
꺼린다,1,0,0
꺼림,1,0,0
꺼림칙하고,1,0,0
꺼림칙하여,1,0,0
꺼림칙해,1,0,0
보일,1,0,0
꼬이거나,1,0,0
틀어지다,1,0,0
꼴사나운,1,0,0
꼴사납게,1,0,0
우는,1,0,0
꼴사납다,1,0,0
꽉,1,0,0
막힌,1,0,0
꾸짖어,1,0,0
혼쭐을,1,0,0
꿉신대다,1,0,0
끔살,1,0,0
끔직하고,1,0,0
절망적이다,1,0,0
끔찍하게,1,0,0
끔찍하다,1,0,0
끔찍한,1,0,0
끔찍함,1,0,0
끝나는,1,0,0
사랑,1,0,0
끝내,1,0,0
패가망신한다는,1,0,0
끝장이,1,0,0
끼치도록,1,0,0
무섭고,1,0,0
나가자빠지는,1,0,0
나무라며,1,0,0
못마땅하게,1,0,0
나빠지게,1,0,0
나빠지다,1,0,0
나빠지도록,1,0,0
나빠진,1,0,0
궂게,1,0,0
궂다,1,0,0
만들다,1,0,0
말하여,1,0,0
나쁘고,1,0,0
나쁜,1,0,0
기운을,1,0,0
놈,1,0,0
버릇,1,0,0
생각을,1,0,0
징조의,1,0,0
처지로,1,0,0
흉계,1,0,0
나쁜놈,1,0,0
나타나는,1,0,0
불쾌한,1,0,0
나태하다,1,0,0
나태한,1,0,0
낙담,1,0,0
낙담하다,1,0,0
낙망,1,0,0
낙망하다,1,0,0
낙심,1,0,0
낙심되다,1,0,0
낙심하다,1,0,0
난잡스러운,1,0,0
난잡하다,1,0,0
난잡한,1,0,0
난처하거나,1,0,0
난처하고,1,0,0
난폭하거나,1,0,0
주책없는,1,0,0
난폭한,1,0,0
행위로,1,0,0
난하다,1,0,0
날카롭고,1,0,0
남에게,1,0,0
복종하면서,1,0,0
억지로,1,0,0
폐를,1,0,0
남용하다,1,0,0
남을,1,0,0
굴복시킴,1,0,0
깎아내리기,1,0,0
낮추어,1,0,0
보듯이,1,0,0
멸시하거나,1,0,0
업신여기는,1,0,0
조롱하거나,1,0,0
해치려다가,1,0,0
헐뜯고,1,0,0
헐뜯다,1,0,0
헐뜯어,1,0,0
헐뜯으려고,1,0,0
남의,1,0,0
어리석은,1,0,0
남이,1,0,0
병들거나,1,0,0
납치,1,0,0
낭비,1,0,0
된,1,0,0
낭비된,1,0,0
낭패,1,0,0
낮잡는,1,0,0
낮잡아,1,0,0
이르는,1,0,0
보거나,1,0,0
보아,1,0,0
내거나,1,0,0
내놓기가,1,0,0
싫다,1,0,0
성,1,0,0
내던져,1,0,0
버리다,1,0,0
버림,1,0,0
내버려지다,1,0,0
내버리거나,1,0,0
내숭스럽고,1,0,0
내용이,1,0,0
못마땅하거나,1,0,0
내쫓기다,1,0,0
내쫓김을,1,0,0
당하다,1,0,0
내쫓는,1,0,0
내쫓다,1,0,0
내쫓아,1,0,0
냉담한,1,0,0
냉랭하거나,1,0,0
냉랭하고,1,0,0
냉랭하며,1,0,0
너무,1,0,0
더디거나,1,0,0
볼품없이,1,0,0
쇠약해지거나,1,0,0
예민하거나,1,0,0
지나치거나,1,0,0
너무하다,1,0,0
너절하게,1,0,0
너절하다,1,0,0
너절한,1,0,0
상태이다,1,0,0
넌더리가,1,0,0
넌씨눈,1,0,0
노답,1,0,0
노략질하는,1,0,0
노략질함을,1,0,0
노여운,1,0,0
노여움,1,0,0
따위를,1,0,0
노여움을,1,0,0
나타내다,1,0,0
노엽거나,1,0,0
노예,1,0,0
노하여,1,0,0
화증,1,0,0
노한다,1,0,0
노함,1,0,0
녹이,1,0,0
심하게,1,0,0
놀라거나,1,0,0
두려워서,1,0,0
떪,1,0,0
무서워,1,0,0
불안하여,1,0,0
슬퍼서,1,0,0
아파서,1,0,0
어색한,1,0,0
놀랍거나,1,0,0
언짢아서,1,0,0
비아냥대다,1,0,0
놀림조,1,0,0
놀림조로,1,0,0
농락하여,1,0,0
농지거리를,1,0,0
뇌의,1,0,0
뇌종양,1,0,0
뇌진탕,1,0,0
뇌출혈,1,0,0
뇌타박상,1,0,0
눈꼴,1,0,0
눈꼴사납게,1,0,0
눈꼴사납고,1,0,0
눈꼴사납다,1,0,0
눈물겹다,1,0,0
눈물을,1,0,0
흘리다,1,0,0
눈물이,1,0,0
넘칠듯이,1,0,0
많이,1,0,0
좔좔,1,0,0
눈알을,1,0,0
눈에,1,0,0
거슬리다,1,0,0
눌러,1,0,0
없애다,1,0,0
느개비,1,0,0
느글거리는,1,0,0
느글거리다,1,0,0
느글대다,1,0,0
느금마,1,0,0
느끼는,1,0,0
느끼하다,1,0,0
느끼해지는,1,0,0
느끼해지다,1,0,0
늘,1,0,0
앓거나,1,0,0
늙은이를,1,0,0
능력이,1,0,0
없어지다,1,0,0
다루기가,1,0,0
다소,1,0,0
비굴하게,1,0,0
다치게,1,0,0
함,1,0,0
함으로써,1,0,0
다침,1,0,0
다투거나,1,0,0
우기다,1,0,0
다투는,1,0,0
것을,1,0,0
소리,1,0,0
다투다,1,0,0
다툼을,1,0,0
닦달하거나,1,0,0
단단히,1,0,0
갑갑한,1,0,0
분한,1,0,0
분함,1,0,0
안타깝게,1,0,0
배척되다,1,0,0
당한,1,0,0
당황한,1,0,0
대드는,1,0,0
대들다,1,0,0
대상을,1,0,0
무서워하여,1,0,0
위협하기,1,0,0
더러운,1,0,0
도랑이라는,1,0,0
무리,1,0,0
점,1,0,0
더러움,1,0,0
더러워,1,0,0
더러워져서,1,0,0
더러워지거나,1,0,0
더러워지다,1,0,0
더러워진,1,0,0
옷,1,0,0
더럽게,1,0,0
꼴로,1,0,0
생각하고,1,0,0
아첨을,1,0,0
여겨져,1,0,0
치사하여,1,0,0
더럽다,1,0,0
더럽혀서,1,0,0
더럽혀진,1,0,0
물,1,0,0
더럽히는,1,0,0
더럽히다,1,0,0
더부룩이,1,0,0
더부룩하고,1,0,0
더부룩하다,1,0,0
더욱,1,0,0
심해지는,1,0,0
더위에,1,0,0
덤벼들어,1,0,0
덤비거나,1,0,0
덤비는,1,0,0
덤비다,1,0,0
덩이가,1,0,0
도둑을,1,0,0
맞은,1,0,0
도둑질하다,1,0,0
도둑질한,1,0,0
도리가,1,0,0
도리에,1,0,0
어그러지고,1,0,0
어긋남에도,1,0,0
도박에서,1,0,0
져서,1,0,0
도중에,1,0,0
실패로,1,0,0
독,1,0,0
작용,1,0,0
독사,1,0,0
독살스러운,1,0,0
독이,1,0,0
독차지함,1,0,0
독하거나,1,0,0
독한,1,0,0
냄새,1,0,0
돈을,1,0,0
빼앗기거나,1,0,0
축냄,1,0,0
돌겠네,1,0,0
돌과,1,0,0
같은,1,0,0
머리라는,1,0,0
동작이,1,0,0
되는,1,0,0
서러운,1,0,0
되는대로,1,0,0
지껄이다,1,0,0
팽개치다,1,0,0
되바라지게,1,0,0
되지,1,0,0
되지못한,1,0,0
소리로,1,0,0
희떠운,1,0,0
두려운,1,0,0
마음을,1,0,0
마음이,1,0,0
인물이,1,0,0
두려움,1,0,0
두려움으로,1,0,0
두려움을,1,0,0
주는,1,0,0
두려움이나,1,0,0
두려워,1,0,0
몸을,1,0,0
두려워하는,1,0,0
병,1,0,0
경계하는,1,0,0
두려워함,1,0,0
두렵거나,1,0,0
싫어서,1,0,0
춥거나,1,0,0
흥분,1,0,0
두렵고,1,0,0
무서움,1,0,0
두렵다,1,0,0
두창을,1,0,0
앓을,1,0,0
두통,1,0,0
둔하고,1,0,0
미련한,1,0,0
뒤끓다,1,0,0
뒤떨어져,1,0,0
뒤떨어지거나,1,0,0
모자라다,1,0,0
뒤지어,1,0,0
훔치다,1,0,0
뒤틀리다,1,0,0
뒤틀리어서,1,0,0
듣기,1,0,0
싫게,1,0,0
싫도록,1,0,0
싫은,1,0,0
들끓다,1,0,0
들볶거나,1,0,0
번거롭게,1,0,0
들어,1,0,0
앓는,1,0,0
들지,1,0,0
아니하거나,1,0,0
아니하여,1,0,0
들추어내어,1,0,0
일러바치다,1,0,0
멀리함,1,0,0
따르지,1,0,0
않고,1,0,0
성가시고,1,0,0
따지며,1,0,0
싸우다,1,0,0
딱딱한,1,0,0
말씨로,1,0,0
딱하고,1,0,0
불쌍하게,1,0,0
딱하다,1,0,0
딱하여,1,0,0
딱한,1,0,0
사정에,1,0,0
형편을,1,0,0
형편이,1,0,0
딱함,1,0,0
때가,1,0,0
찌들어서,1,0,0
때려,1,0,0
죽여서,1,0,0
떠벌리다,1,0,0
떡실신,1,0,0
떳떳하지,1,0,0
못하거나,1,0,0
못하게,1,0,0
못하여,1,0,0
못한,1,0,0
또는,1,0,0
슬프게,1,0,0
또라이,1,0,0
똥꼬충,1,0,0
뜻대로,1,0,0
않아,1,0,0
안,1,0,0
되거나,1,0,0
뜻이,1,0,0
맞지,1,0,0
띠꾸,1,0,0
마구,1,0,0
다그치다,1,0,0
들볶다,1,0,0
때림을,1,0,0
떠들거나,1,0,0
떠들어,1,0,0
죄어들거나,1,0,0
죽이는,1,0,0
죽임을,1,0,0
지껄이는,1,0,0
쳐부수는,1,0,0
헐뜯는,1,0,0
헝클어지거나,1,0,0
화풀이를,1,0,0
마땅하지,1,0,0
않은,1,0,0
마비되는,1,0,0
병증,1,0,0
마음속이,1,0,0
답답하여,1,0,0
마음에,1,0,0
근심이,1,0,0
아니하다,1,0,0
아니하여서,1,0,0
않거나,1,0,0
않다,1,0,0
멍이,1,0,0
들거나,1,0,0
못마땅하여,1,0,0
못마땅할,1,0,0
미안하게,1,0,0
미안하고,1,0,0
미안하다,1,0,0
미안함,1,0,0
언짢고,1,0,0
놓을,1,0,0
상하게,1,0,0
마음의,1,0,0
구슬퍼질,1,0,0
몹시,1,0,0
상함,1,0,0
무거워지다,1,0,0
불안하거나,1,0,0
불안하게,1,0,0
불안하다,1,0,0
불안한,1,0,0
불편하고,1,0,0
불편하여,1,0,0
서운하거나,1,0,0
슬프다,1,0,0
쓰리고,1,0,0
아플,1,0,0
안타깝거나,1,0,0
언짢게,1,0,0
언짢아지다,1,0,0
우울하게,1,0,0
조급하여,1,0,0
좁고,1,0,0
좁아,1,0,0
지치어,1,0,0
초조하고,1,0,0
초조한,1,0,0
초초하고,1,0,0
마이너스,1,0,0
막되게,1,0,0
막되다,1,0,0
막되어,1,0,0
막연하다,1,0,0
막혀,1,0,0
막히는,1,0,0
장애물을,1,0,0
막히다,1,0,0
무질서하게,1,0,0
상해서,1,0,0
말대꾸하다,1,0,0
말대답을,1,0,0
하며,1,0,0
말라죽은,1,0,0
말라죽을,1,0,0
말에,1,0,0
부정하여,1,0,0
말을,1,0,0
부정하며,1,0,0
말이,1,0,0
버릇없고,1,0,0
망상,1,0,0
망신,1,0,0
망신스러운,1,0,0
망치는,1,0,0
망치다,1,0,0
망하는,1,0,0
때,1,0,0
망하다,1,0,0
망할,1,0,0
맞갖지,1,0,0
않게,1,0,0
맞추기,1,0,0
힘들,1,0,0
매독,1,0,0
매독균의,1,0,0
침입으로,1,0,0
매로,1,0,0
때리는,1,0,0
매몰차게,1,0,0
매몰차고,1,0,0
매섭게,1,0,0
공격하다,1,0,0
매스껍고,1,0,0
매슥매슥하여,1,0,0
매우,1,0,0
가소롭게,1,0,0
가소롭다,1,0,0
간지럽고,1,0,0
경망스럽고,1,0,0
경망하게,1,0,0
경박하다,1,0,0
교만하고,1,0,0
굼뜨게,1,0,0
귀찮을,1,0,0
근심하다,1,0,0
근지럽고,1,0,0
급하게,1,0,0
급하고,1,0,0
까다로운,1,0,0
까다롭게,1,0,0
까다롭다,1,0,0
나빠지거나,1,0,0
느리고,1,0,0
능청스럽고,1,0,0
더운,1,0,0
떨어지고,1,0,0
멋없이,1,0,0
멍한,1,0,0
메스껍고,1,0,0
메스껍다,1,0,0
모질고,1,0,0
못된,1,0,0
못마땅해하면서,1,0,0
못마해하면서,1,0,0
미덥지,1,0,0
미련하고,1,0,0
밉살스러운,1,0,0
복잡하게,1,0,0
부산한,1,0,0
비속하게,1,0,0
빤빤스럽고,1,0,0
뻔뻔스럽고,1,0,0
서먹서먹하게,1,0,0
성기게,1,0,0
소란스럽게,1,0,0
소스라치게,1,0,0
수더분하거나,1,0,0
시끄럽고,1,0,0
신경질적으로,1,0,0
심한,1,0,0
심함을,1,0,0
알짤지근하다,1,0,0
알짤지근한,1,0,0
애를,1,0,0
애통할,1,0,0
약한,1,0,0
얄밉게,1,0,0
어리석고,1,0,0
어수선하게,1,0,0
어수선하다,1,0,0
어지러우며,1,0,0
어지럽게,1,0,0
어찔어찔한,1,0,0
엉성하고,1,0,0
엉성한,1,0,0
옹졸하고,1,0,0
요란스럽게,1,0,0
요란하게,1,0,0
우락부락하고,1,0,0
우물쭈물하다,1,0,0
우악스러운,1,0,0
위태롭거나,1,0,0
위태하여,1,0,0
인색한,1,0,0
자리자리한,1,0,0
저린,1,0,0
절면서,1,0,0
추운,1,0,0
치사하고,1,0,0
허전하고,1,0,0
허전하다,1,0,0
허전한,1,0,0
흉하게,1,0,0
흐리멍덩하다,1,0,0
흐리멍덩한,1,0,0
힘들게,1,0,0
힘없이,1,0,0
매질을,1,0,0
하고,1,0,0
맥없게,1,0,0
맥없는,1,0,0
맥없이,1,0,0
느리게,1,0,0
주저앉거나,1,0,0
폭,1,0,0
맥이,1,0,0
풀려,1,0,0
풀리거나,1,0,0
풀리다,1,0,0
풀림,1,0,0
맺힌,1,0,0
머리가,1,0,0
어지러워,1,0,0
울리고,1,0,0
머저리,1,0,0
먹기,1,0,0
멋없다,1,0,0
걷는,1,0,0
우쭐하는,1,0,0
우쭐하다,1,0,0
흔들리는,1,0,0
흔들리다,1,0,0
멋이,1,0,0
멍청이,1,0,0
멍청하거나,1,0,0
멍청하고,1,0,0
멍청하다,1,0,0
멍청한,1,0,0
사람,1,0,0
메말라,1,0,0
메스꺼움,1,0,0
메스꺼워,1,0,0
토하며,1,0,0
메슥메슥하여,1,0,0
메슥메슥한,1,0,0
멘붕,1,0,0
면색여토하다,1,0,0
멸망시키다,1,0,0
멸망함,1,0,0
멸명되다,1,0,0
멸시,1,0,0
멸시감,1,0,0
멸시당하는,1,0,0
멸시되다,1,0,0
멸시하다,1,0,0
멸여,1,0,0
멸여되다,1,0,0
멸여하다,1,0,0
명망을,1,0,0
잃거나,1,0,0
잃다,1,0,0
잃음,1,0,0
명예,1,0,0
훼손,1,0,0
명예롭지,1,0,0
명존세,1,0,0
모두,1,0,0
지쳐,1,0,0
모양이,1,0,0
흉하고,1,0,0
모욕,1,0,0
모욕을,1,0,0
모조리,1,0,0
파괴되어,1,0,0
파괴하여,1,0,0
훔치거나,1,0,0
모진,1,0,0
모질게,1,0,0
억세다,1,0,0
잔인한,1,0,0
모질다,1,0,0
모짊,1,0,0
목구멍에,1,0,0
걸려,1,0,0
목숨을,1,0,0
끊다,1,0,0
목숨이,1,0,0
거의,1,0,0
다,1,0,0
되어,1,0,0
생태,1,0,0
얼마,1,0,0
남지,1,0,0
위태로울,1,0,0
몰아붙이듯이,1,0,0
몰아쳐서,1,0,0
몸살나다,1,0,0
몸이,1,0,0
불편하거나,1,0,0
불편하다,1,0,0
불편함,1,0,0
몸져눕게,1,0,0
몸져눕는,1,0,0
가렵고,1,0,0
갑갑하고,1,0,0
거칠어,1,0,0
겁을,1,0,0
게으름을,1,0,0
구속하다,1,0,0
군색함,1,0,0
군소리를,1,0,0
굳은,1,0,0
긴장하거나,1,0,0
까불어서,1,0,0
까칠하다,1,0,0
꺼불다,1,0,0
꺼칠하다,1,0,0
낡고,1,0,0
놀라,1,0,0
답답한,1,0,0
더듬는,1,0,0
뒤엉키어,1,0,0
뜨거운,1,0,0
뜨겁다,1,0,0
무덥고,1,0,0
무서운,1,0,0
무섭거나,1,0,0
미련하거나,1,0,0
미움을,1,0,0
바쁘게,1,0,0
버릇없이,1,0,0
분하거나,1,0,0
분하고,1,0,0
분하여,1,0,0
불평스럽게,1,0,0
사나운,1,0,0
사납다,1,0,0
살기,1,0,0
상한,1,0,0
샐그러뜨리며,1,0,0
샘바르고,1,0,0
서두르며,1,0,0
성을,1,0,0
소란하고,1,0,0
소모되어,1,0,0
수척하다,1,0,0
쉬거나,1,0,0
슬퍼하면서,1,0,0
슬프고,1,0,0
시끄럽다,1,0,0
시들한,1,0,0
시장하거나,1,0,0
시큰둥한,1,0,0
싫어하는,1,0,0
싫어하여,1,0,0
싫어함을,1,0,0
심하여,1,0,0
싱겁게,1,0,0
싸늘한,1,0,0
쑤시고,1,0,0
씁쓰레하게,1,0,0
아니꼽다,1,0,0
아리고,1,0,0
아쉽다,1,0,0
아프거나,1,0,0
악독하게,1,0,0
악한,1,0,0
앓다,1,0,0
앓음,1,0,0
암상스럽게,1,0,0
애쓰다,1,0,0
야위고,1,0,0
야윈,1,0,0
약하여지는,1,0,0
어긋나고,1,0,0
어색하거나,1,0,0
어수선한,1,0,0
어지럽고,1,0,0
억누르는,1,0,0
억누르다,1,0,0
억울하거나,1,0,0
언짢거나,1,0,0
얼떨떨하다,1,0,0
얽은,1,0,0
