,Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
9,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,케이,대박...........대단합니다 정말,4개월 전,E트렌드,7.4천,208,4
10,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,요주방 요리하는주방,이선엽부장님 최고죠^^,4개월 전,E트렌드,7.4천,208,2
11,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,KH KIM,이선엽 부장님 최고내요~^^,4개월 전,E트렌드,7.4천,208,2
12,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,정진숙,정말 100번 듣어야겠어요 너무 유익한말씀 감사합니다,4개월 전,E트렌드,7.4천,208,10
13,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Elly Koo,와.. 이분 정말 다음에 또 뵜음 좋겠어요,4개월 전,E트렌드,7.4천,208,2
14,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,초목,참 진실한 말씀 감사합니다,4개월 전,E트렌드,7.4천,208,1
15,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,주진용,100번 들어도 아깝지 않은 듯 합니다.,4개월 전,E트렌드,7.4천,208,1
16,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,정유진,정말 달변이십니다,4개월 전,E트렌드,7.4천,208,2
17,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,bongs park,인생은 정말 재미었어집니다. 다이나믹해서요. ㅋㅋㅋㅋㅋㅋㅋ핵공감!,4개월 전,E트렌드,7.4천,208,4
18,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,이순덕,총괄님  알찬말씀 감사감사요진짜주옥같은 말씀이네요,4개월 전(수정됨),E트렌드,7.4천,208,1
19,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,장미,진행자분 정말 쎈스있으시고.진행 품격있게 하십니다 ^^ㅉ ㅉㅉ,4개월 전,E트렌드,7.4천,208,5
20,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Choi최이슉,총괄님 마지막  말씀에 정말 정말 공감 공감 합니다감사합니다~***,4개월 전,E트렌드,7.4천,208,10
21,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,js c,감사드립니다~^^,4개월 전,E트렌드,7.4천,208,4
22,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,momentree,결론 : 강세장에서는 성장주에 올라타라.이선엽 총괄님은 청산유수다. 정말 물 흐르듯 말씀하네요.,4개월 전(수정됨),E트렌드,7.4천,208,38
23,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,이혜선,제가 좋아하는 이선엽부장님 열심히 듣겠습니다,4개월 전,E트렌드,7.4천,208,18
24,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,가을바람,감사합니다,4개월 전,E트렌드,7.4천,208,8
25,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김달순,좋은말씀해주셔서  감사합니다 🙏 💕,4개월 전,E트렌드,7.4천,208,7
26,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,HS CHO,제일 뼈저리게 새겨 들어야 할 내용을 공유해 주셔서 정말 고맙습니다! 진행자님과  총괄님의 케미가 돋보입니다 .,4개월 전,E트렌드,7.4천,208,5
27,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,햅번,다시보기 하면서 총괄님 말씀 새겨 듣고 있습니다,4개월 전,E트렌드,7.4천,208,1
28,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,re snar,내공이 느껴지는 말씀이네요.^^,4개월 전,E트렌드,7.4천,208,2
29,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,오혜진,총괄님 책 나오길 기다리겠습니다.,4개월 전,E트렌드,7.4천,208,2
30,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,전연지,정말감사합니다.뼈있는 조언 아로새겨듣겠습니다!🙇‍♀️,4개월 전,E트렌드,7.4천,208,4
31,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김유영,멋지다. 짝 짝 ... ..,4개월 전,E트렌드,7.4천,208,2
32,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,manduk seo,주식 하면 위험 할수있지만인생은 다이나믹해진다 ㅋㅋㅋ 공감 합니다,3개월 전,E트렌드,7.4천,208,2
33,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,스미스,센터장님의 긁어주는 질문에 총괄님의 깔끔한 답변 너무 잘 들었습니딘.,4개월 전,E트렌드,7.4천,208,1
34,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김선화,왜  기관들은   개미가 사면  왜 팔기만 할까 그돈이 어디로~~^,4개월 전,E트렌드,7.4천,208,3
35,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Lynn,섬넬 제목을 not 자극적 but 구체적으로 해 주심 좋을 듯 합니다^^,4개월 전,E트렌드,7.4천,208,4
36,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,권너구리,훌륭한강의ㆍ대박,3개월 전,E트렌드,7.4천,208,2
37,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,이갑연,항상 힘을 주시고.넘  감사합니다.,4개월 전,E트렌드,7.4천,208,5
38,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,한명옥,나는 어떤유형인지 생각해볼수 기회주셔서 감사합니다,4개월 전,E트렌드,7.4천,208,4
39,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,K Park,좋은 내용 감사합니다. 👍,4개월 전,E트렌드,7.4천,208,6
40,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Dong Woo Kim,현재 상황을 보면 결국 총괄님 예견대로 상황이 흘러 가네요!,3개월 전,E트렌드,7.4천,208,2
41,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,펭블리야,너무 감사합니다..,4개월 전,E트렌드,7.4천,208,2
42,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,송은영,정말 맞는말씀만하시네요 저도 주식처음해본 주린이인데 공감이 많이됩니다,4개월 전,E트렌드,7.4천,208,3
43,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,천은순,감사합니다,4개월 전,E트렌드,7.4천,208,3
44,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,곽따손,참 좋은 말씀이네요잘 들었습니다^^,4개월 전,E트렌드,7.4천,208,3
45,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,킴막스무스,야..정말 좋은 말씀 갑사합니다.,4개월 전,E트렌드,7.4천,208,2
46,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,쑤기,감사합니다~,4개월 전,E트렌드,7.4천,208,3
47,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,JoungJaeSook정재숙,너무  감사합니다.,4개월 전,E트렌드,7.4천,208,2
48,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Helon J,올라도 내려도 신경쓸게 많은투자~~그냥 돈버는게 아니구요,4개월 전,E트렌드,7.4천,208,6
49,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,하우,진행자가 시청자 눈높이 질문을 참 잘하네요.,3개월 전(수정됨),E트렌드,7.4천,208,2
50,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,윤희진,이선엽부장님의 설명 처음들었습니다.정말 100번들어도 시간 아깝지 않을 귀한 말씀이네요. 감사합니다.,4개월 전,E트렌드,7.4천,208,4
51,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,진진,차분한 설명  넘  좋아요,4개월 전,E트렌드,7.4천,208,3
52,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,2016 shiny,이선엽총괄님 보고 잽싸게 들어왔네요.,4개월 전,E트렌드,7.4천,208,4
53,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,은솔라도,Etf트렌드 섭외력이  대단하세요 좋은말씀  잘들었습니다 이선엽 총괄님  날카로우셔서 한번더 뵙고  싶었어요,4개월 전,E트렌드,7.4천,208,14
54,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,정세영,감사합니다.,4개월 전,E트렌드,7.4천,208,2
55,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,sam K,책 쓰시면 꼭 사서 읽겠습니다. 매 방송 챙겨보면 큰 도움 받고 있습니다. 감사합니다.,4개월 전,E트렌드,7.4천,208,1
56,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,leeyoungae0105,2030과 5060세대에 관해서 현실적인 팁 공감이 가네요,4개월 전,E트렌드,7.4천,208,2
57,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,꿀단지,100번  볼께요~   감사합니다,4개월 전,E트렌드,7.4천,208,1
58,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Choi최이슉,주린이인데 정말~~도움이 많이 되었습니다~~***,4개월 전,E트렌드,7.4천,208,5
59,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,eunhee Shin,정말 최고네요!,4개월 전,E트렌드,7.4천,208,1
60,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,권문혁,어디에도 들을수없는 조언입니다,4개월 전,E트렌드,7.4천,208,1
61,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,황지영,너무 감사합니다도움이 많이 됩니다,4개월 전,E트렌드,7.4천,208,6
62,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Eunju .Kim,감사합니다 🙏,4개월 전,E트렌드,7.4천,208,1
63,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,감성.강남,잘봤습니다.감사합니다.,4개월 전,E트렌드,7.4천,208,2
64,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,jeongmi choi,영상감사합니다,4개월 전,E트렌드,7.4천,208,1
65,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,나백성,"피와 살이 되는 조언과 가르침, 겸손과 품위를 겸비하신 모습이 좋습니다.^^",4개월 전,E트렌드,7.4천,208,1
66,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,현주,정말 자주나오셔서 말씀해주셨음 좋겠어요.  우연히 봤는데  말씀 와닿았어요. 감사합니다.,3개월 전,E트렌드,7.4천,208,0
67,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,희쌤과 함께하는학교음악,이선엽 총괄님 진솔한 이야기 감사합니다.,4개월 전,E트렌드,7.4천,208,1
68,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김혜진,너무 감사드립니다^^,4개월 전,E트렌드,7.4천,208,1
69,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,Choi최이슉,맞습니다 장점만 참고하면될것같아요내생각을 적립 정말 좋은 말씀입니다~***,4개월 전,E트렌드,7.4천,208,8
70,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,김이런저런,우와!!!너무 좋은 조언 감사합니다100번 맞네요!!^^,4개월 전,E트렌드,7.4천,208,2
71,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,와우뿅뿅,역시 설득력 짱이십니다!!! 귀에 쏙쏙,4개월 전,E트렌드,7.4천,208,1
72,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,이병준,좋은 말씀 감사합니다.,4개월 전,E트렌드,7.4천,208,1
73,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,p jay,와 정말 도움 많이 됐습니다 감사합니다,4개월 전,E트렌드,7.4천,208,2
74,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,나무아이,감사합니당^^,4개월 전,E트렌드,7.4천,208,1
75,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,한지원,감사합니다,4개월 전,E트렌드,7.4천,208,1
76,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,쇠주남,감사합니다,4개월 전,E트렌드,7.4천,208,1
77,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,우영하TV,감사합니다,4개월 전,E트렌드,7.4천,208,1
78,2021년 1분기 한국 증시 전망/2030주식투자자를 위한 조언/시니어투자자를 위한 조언 | 이선엽총괄 | 주가전망 | 투자고수 | 주식투자 | 2030투자조언 |,2020. 12. 4.,따뜻한봄날,음식료 아직 안갔는데 ;;  대체했으면 좋겠네요열린 사고는 어디에서나 필요하군요!!이선엽 총괄님 자주 모셔주세요~,4개월 전(수정됨),E트렌드,7.4천,208,5
